#No.	Label Name:	R	G	B	A
137	lh_superiortemporal_part6	44	139	251	0
138	lh_superiortemporal_part7	166	127	45	0
139	lh_supramarginal_part1	105	116	31	0
140	lh_supramarginal_part2	151	82	137	0
141	lh_supramarginal_part3	228	163	45	0
142	lh_supramarginal_part4	112	64	178	0
143	lh_supramarginal_part5	254	147	192	0
144	lh_supramarginal_part6	211	88	91	0
145	lh_supramarginal_part7	193	185	16	0
146	lh_frontalpole_part1	187	207	140	0
147	lh_temporalpole_part1	213	133	161	0
148	lh_transversetemporal_part1	220	189	76	0
149	lh_insula_part1	194	63	142	0
150	lh_insula_part2	61	14	44	0
151	lh_insula_part3	10	118	204	0
152	lh_insula_part4	154	177	111	0
153	rh_bankssts_part1	69	9	150	0
154	rh_bankssts_part2	215	149	147	0
155	rh_caudalanteriorcingulate_part1	49	148	168	0
156	rh_caudalmiddlefrontal_part1	167	18	84	0
157	rh_caudalmiddlefrontal_part2	92	165	57	0
158	rh_caudalmiddlefrontal_part3	69	155	163	0
159	rh_caudalmiddlefrontal_part4	153	19	138	0
160	rh_cuneus_part1	106	55	92	0
161	rh_cuneus_part2	32	230	145	0
162	rh_cuneus_part3	124	207	44	0
163	rh_entorhinal_part1	189	139	1	0
164	rh_fusiform_part1	134	155	37	0
165	rh_fusiform_part2	38	140	173	0
166	rh_fusiform_part3	78	171	150	0
167	rh_fusiform_part4	251	246	190	0
168	rh_fusiform_part5	136	141	40	0
169	rh_inferiorparietal_part1	115	236	16	0
170	rh_inferiorparietal_part2	21	118	50	0
171	rh_inferiorparietal_part3	115	94	188	0
172	rh_inferiorparietal_part4	80	158	159	0
173	rh_inferiorparietal_part5	16	92	131	0
174	rh_inferiorparietal_part6	108	247	8	0
175	rh_inferiorparietal_part7	228	141	124	0
176	rh_inferiorparietal_part8	73	36	148	0
177	rh_inferiorparietal_part9	227	92	53	0
178	rh_inferiorparietal_part10	211	215	143	0
179	rh_inferiortemporal_part1	208	35	231	0
180	rh_inferiortemporal_part2	9	233	22	0
181	rh_inferiortemporal_part3	79	251	153	0
182	rh_inferiortemporal_part4	134	20	96	0
183	rh_inferiortemporal_part5	61	145	8	0
184	rh_isthmuscingulate_part1	124	145	42	0
185	rh_isthmuscingulate_part2	167	92	89	0
186	rh_lateraloccipital_part1	27	104	120	0
187	rh_lateraloccipital_part2	244	127	182	0
188	rh_lateraloccipital_part3	77	184	201	0
189	rh_lateraloccipital_part4	173	133	83	0
190	rh_lateraloccipital_part5	102	146	78	0
191	rh_lateraloccipital_part6	104	48	30	0
192	rh_lateraloccipital_part7	116	82	223	0
193	rh_lateraloccipital_part8	165	142	164	0
194	rh_lateraloccipital_part9	23	182	160	0
195	rh_lateralorbitofrontal_part1	40	33	176	0
196	rh_lateralorbitofrontal_part2	44	156	214	0
197	rh_lateralorbitofrontal_part3	241	7	13	0
198	rh_lateralorbitofrontal_part4	194	246	217	0
